Time,Substream_ID,<ticker>,<vol>,<close>,Critical
35422,49,ANAC,400,5.01,False
35423,49,ANAD,25290,6.87,False
35424,49,ANDE,800,33.08,False
35425,49,ANGO,887,14.27,False
35426,49,ANIK,200,6.074,False
35427,49,ANSS,22540,50.61,False
35428,49,ANTH,500,5.49,False
35429,49,AOSL,100,11.63,False
35430,49,APAGF,242,38.99,False
35431,49,APEI,1052,33.15,False
35432,49,APOG,200,11.68,False
35433,49,APOL,38262,34.65,False
35434,49,APPY,100,0.5641,False
35435,49,APRI,3667,3.48,False
35436,49,ARAY,1400,6.14,False
35437,49,ARCC,4720,16.6,False
35438,49,AREX,1600,18.76,False
35439,49,ARIA,7700,4.15,False
35440,49,ARII,800,15.63,False
35441,49,ARLP,357,63.575,False
35442,49,ARMH,5375,18.96,False
35443,49,ARNA,22052,1.385,False
35444,49,AROW,100,27.83,False
35445,49,ARQL,300,5.57,False
35446,49,ARRS,4241,10.32,False
35447,49,ARRY,200,3.35,False
35448,49,ARTNA,100,18.81,False
35449,49,ARTX,200,1.7,False
35450,49,ARUN,32821,22.825,False
35451,49,ARWR,5000,0.95,False
35452,49,ASBC,1090,13.01,False
35453,49,ASCMA,3600,31.17,False
35454,49,ASEI,1900,82.28,False
35455,49,ASMI,200,25.81,False
35456,49,ASML,7500,34.35,False
35457,49,ASPS,400,27.37,False
35458,49,ASTC,600,1.21,False
35459,49,ASTE,200,31.45,False
35460,49,ASTI,4000,3.2924,False
35461,49,ASTM,3541,2.5381,False
35462,49,ASYS,2625,21.4,False
35463,49,ATAX,1000,5.298,False
35464,49,ATEA,200,2.81,False
35465,49,ATEC,500,2.29,False
35466,49,ATHN,5470,43.99,False
35467,49,ATHX,1579,2.52,False
35468,49,ATLO,637,20.0,False
35469,49,ATML,39811,10.6804,False
35470,49,ATNI,900,34.31,False
35471,49,ATRC,200,8.97,False
35472,49,ATRO,100,21.21,False
35473,49,ATSG,3248,7.67,False
35474,49,ATVI,48058,11.99,False
35475,49,AUDC,1241,4.78,False
35476,49,AUXL,1743,19.17,False
35477,49,AVAV,4888,24.69,False
35478,49,AVEO,3900,15.26,False
35479,49,AVGO,1982,26.725,False
35480,49,AVNR,10800,4.2001,False
35481,49,AVNW,1400,4.28,False
35482,49,AXAS,7700,4.36,False
35483,49,AXTI,6800,8.7,False
35484,49,AZPN,5247,12.992,False
35485,49,BABY,10100,13.08,False
35486,49,BAGL,1600,12.85,False
35487,49,BANF,100,41.11,False
35488,49,BANR,4373,1.59,False
35489,49,BBBY,17563,44.99,False
35490,49,BBEP,1900,20.0,False
35491,49,BBOX,200,36.82,False
35492,49,BBRG,3556,17.53,False
35493,49,BBSI,400,14.99,False
35494,49,BCPC,450,31.5901,False
35495,49,BCRX,700,5.09,False
35496,49,BDE,200,7.01,False
35497,49,BEAT,500,4.05,False
35498,49,BEAV,1700,36.58,False
35499,49,BEBE,9100,6.4,False
35500,49,BECN,5758,17.63,False
35501,49,BELFB,600,22.5,False
35502,49,BGCP,3001,7.95,False
35503,49,BGFV,1331,14.27,False
35504,49,BICK,206,32.31,False
35505,49,BIDU,51833,106.89,False
35506,49,BIIB,4557,65.78,False
35507,49,BIOD,13008,1.72,False
35508,49,BIOF,100,1.67,False
35509,49,BIOS,27472,4.39,False
35510,49,BIRT,900,5.74,False
35511,49,BJRI,1200,37.59,False
35512,49,BKCC,2100,11.45,False
35513,49,BKMU,2450,4.7,False
35514,49,BLDP,1450,1.409,False
35515,49,BLDR,6800,1.62,False
35516,49,BLKB,400,26.83,False
35517,49,BMRN,7000,26.97,False
35518,49,BMTC,100,16.97,False
35519,49,BNCL,933,7.89,False
35520,49,BOBE,800,31.97,False
35521,49,BOCH,400,3.69,False
35522,49,BOFI,100,13.83,False
35523,49,BOKF,100,47.64,False
35524,49,BOLT,300,13.3,False
35525,49,BONT,910,13.93,False
35526,49,BOOM,300,16.42,False
35527,49,BOSC,100,1.46,False
35528,49,BPFH,700,5.5,False
35529,49,BPHX,24100,1.89,False
35530,49,BPOP,29539,2.88,False
35531,49,BRCD,86646,5.03,False
35532,49,BRCM,25107,45.935,False
35533,49,BRID,100,12.9,False
35534,49,BRKL,1320,10.095,False
35535,49,BRKR,5100,15.97,False
35536,49,BRKS,30084,7.605,False
35537,49,BRLI,2800,21.12,False
35538,49,BSDM,11220,4.314,False
35539,49,BSFT,6300,22.97,False
35540,49,BSPM,2100,2.84,False
35541,49,BSQR,1275,6.23,False
35542,49,BSRR,600,10.355,False
35543,49,BUSE,4310,4.45,False
35544,49,BWEN,14219,1.96,False
35545,49,BWINB,200,23.33,False
35546,49,BWLD,4300,48.005,False
35547,49,CA,14444,23.68,False
35548,49,CAAS,300,14.99,False
35549,49,CAC,100,36.72,False
35550,49,CACC,100,61.7,False
35551,49,CACH,300,4.17,False
35552,49,CADC,800,3.94,False
35553,49,CAKE,12032,32.22,False
35554,49,CALD,300,4.82,False
35555,49,CALL,100,28.19,False
35556,49,CALM,400,31.12,False
35557,49,CAMT,700,2.51,False
35558,49,CAR,22420,13.77,False
35559,49,CASH,100,13.09,False
35560,49,CASS,300,35.95,False
35561,49,CASY,800,39.95,False
35562,49,CATM,3290,16.96,False
35563,49,CATY,3312,13.84,False
35564,49,CAVM,16264,38.31,False
35565,49,CBAK,1093,1.8101,False
