Time,Substream_ID,timestamp,jobId,machineId,status,priority,Critical
274,19,2796419065,6251803864,8055700,1,2,False
275,19,2974256360,6251803864,8055700,4,2,False
276,19,3147525040,6251726235,8055700,5,2,False
277,19,4053688075,6251929399,8055700,1,0,False
278,19,4210060685,6251929399,8055700,4,0,False
279,19,4225979669,6251941721,8055700,1,2,False
280,19,4383997755,6251941721,8055700,4,2,True
281,20,601623225,6251537638,4081219342,4,2,False
282,20,1373713390,6251712256,4081219342,1,2,False
283,20,1426230885,6251722714,4081219342,1,2,False
284,20,1785328722,6251712256,4081219342,4,2,False
285,20,1867638667,6251722714,4081219342,4,2,False
286,20,2140223851,6251784940,4081219342,1,2,False
287,20,2151666135,6251795690,4081219342,1,2,False
288,20,2484900002,6251784940,4081219342,4,2,False
289,20,2733784952,6251795690,4081219342,4,2,False
290,20,2789562748,6251860459,4081219342,1,2,False
291,20,2994330496,6251860459,4081219342,5,2,False
292,20,3413241822,6251892565,4081219342,1,2,False
293,20,4010387334,6251892565,4081219342,4,2,True
294,21,601623301,6251537638,567763,4,2,False
295,21,872257508,6251687275,567763,1,2,False
296,21,1330775458,6251687275,567763,4,2,False
297,21,1400592453,6251717526,567763,1,2,False
298,21,1705719876,6251717526,567763,4,2,False
299,21,2140237002,6251784940,567763,1,2,False
300,21,2467329832,6251841674,567763,1,2,False
301,21,2489666084,6251845818,567763,1,2,False
302,21,2501150224,6251784940,567763,4,2,False
303,21,2574533545,6251841674,567763,5,2,False
304,21,3205622527,6251845818,567763,4,2,True
305,22,1808656805,6251725155,4304160876,4,2,False
306,22,2026863686,515042969,4304160876,1,0,False
307,22,2074708122,6251777719,4304160876,1,2,False
308,22,2689309245,6251777719,4304160876,4,2,False
309,22,4148124328,515042969,4304160876,1,0,False
310,22,4225977627,6251941721,4304160876,1,2,False
311,22,4354300760,6251941721,4304160876,4,2,False
312,22,4696072750,515042969,4304160876,1,0,False
313,22,4853931225,6251974185,4304160876,1,2,False
314,22,5384783510,6251974185,4304160876,4,2,True
